"September 21, 2017 at 11:39PM","September 21, 2017 at 11:41PM",130
"September 22, 2017 at 02:54AM","September 22, 2017 at 03:01AM",412
"September 22, 2017 at 04:29AM","September 22, 2017 at 04:40AM",632
"September 22, 2017 at 06:06AM","September 22, 2017 at 06:15AM",522
"September 22, 2017 at 07:29PM","September 22, 2017 at 07:39PM",588
"September 22, 2017 at 09:05PM","September 22, 2017 at 09:15PM",604
"September 22, 2017 at 10:45PM","September 22, 2017 at 10:50PM",314
"September 23, 2017 at 02:02AM","September 23, 2017 at 02:07AM",284
"September 23, 2017 at 03:37AM","September 23, 2017 at 03:47AM",596
"September 23, 2017 at 05:13AM","September 23, 2017 at 05:23AM",603
"September 23, 2017 at 08:12PM","September 23, 2017 at 08:23PM",634
"September 23, 2017 at 09:51PM","September 23, 2017 at 09:58PM",433
"September 24, 2017 at 02:45AM","September 24, 2017 at 02:54AM",534
"September 24, 2017 at 04:21AM","September 24, 2017 at 04:31AM",637
"September 24, 2017 at 06:00AM","September 24, 2017 at 06:04AM",247
"September 24, 2017 at 05:47PM","September 24, 2017 at 05:52PM",287
"September 24, 2017 at 07:20PM","September 24, 2017 at 07:30PM",637
"September 24, 2017 at 08:58PM","September 24, 2017 at 09:06PM",523
"September 25, 2017 at 01:53AM","September 25, 2017 at 02:00AM",448
"September 25, 2017 at 03:28AM","September 25, 2017 at 03:39AM",638
"September 25, 2017 at 05:06AM","September 25, 2017 at 05:14AM",479
"September 25, 2017 at 06:28PM","September 25, 2017 at 06:38PM",607
"September 25, 2017 at 08:04PM","September 25, 2017 at 08:14PM",587
"September 25, 2017 at 09:45PM","September 25, 2017 at 09:49PM",262
"September 26, 2017 at 01:01AM","September 26, 2017 at 01:07AM",332
"September 26, 2017 at 02:36AM","September 26, 2017 at 02:46AM",611
"September 26, 2017 at 04:13AM","September 26, 2017 at 04:22AM",582
"September 26, 2017 at 05:36PM","September 26, 2017 at 05:45PM",532
"September 26, 2017 at 07:12PM","September 26, 2017 at 07:22PM",626
"September 26, 2017 at 08:51PM","September 26, 2017 at 08:57PM",396
"September 27, 2017 at 12:10AM","September 27, 2017 at 12:12AM",162
"September 27, 2017 at 01:44AM","September 27, 2017 at 01:53AM",558
"September 27, 2017 at 03:20AM","September 27, 2017 at 03:31AM",630
"September 27, 2017 at 04:45PM","September 27, 2017 at 04:52PM",378
"September 27, 2017 at 06:19PM","September 27, 2017 at 06:30PM",639
"September 27, 2017 at 07:57PM","September 27, 2017 at 08:05PM",495
"September 28, 2017 at 12:52AM","September 28, 2017 at 01:00AM",479
"September 28, 2017 at 02:28AM","September 28, 2017 at 02:38AM",641
"September 28, 2017 at 04:05AM","September 28, 2017 at 04:12AM",424
"September 28, 2017 at 05:27PM","September 28, 2017 at 05:37PM",620
"September 28, 2017 at 07:04PM","September 28, 2017 at 07:13PM",568
"September 28, 2017 at 08:45PM","September 28, 2017 at 08:48PM",202
"September 29, 2017 at 01:36AM","September 29, 2017 at 01:47AM",625
"September 29, 2017 at 03:13AM","September 29, 2017 at 03:22AM",553
"September 29, 2017 at 04:36PM","September 29, 2017 at 04:46PM",567
"September 29, 2017 at 06:12PM","September 29, 2017 at 06:22PM",615
"September 29, 2017 at 07:52PM","September 29, 2017 at 07:58PM",352
"September 29, 2017 at 11:10PM","September 29, 2017 at 11:14PM",239
"September 30, 2017 at 12:44AM","September 30, 2017 at 12:54AM",581
"September 30, 2017 at 02:21AM","September 30, 2017 at 02:31AM",618
"September 30, 2017 at 03:45PM","September 30, 2017 at 03:53PM",451
"September 30, 2017 at 05:20PM","September 30, 2017 at 05:30PM",637
"September 30, 2017 at 06:58PM","September 30, 2017 at 07:06PM",461
"September 30, 2017 at 11:53PM","October 01, 2017 at 12:01AM",513
"October 01, 2017 at 01:28AM","October 01, 2017 at 01:39AM",641
"October 01, 2017 at 03:07AM","October 01, 2017 at 03:12AM",340
"October 01, 2017 at 02:56PM","October 01, 2017 at 02:58PM",157
"October 01, 2017 at 04:27PM","October 01, 2017 at 04:38PM",631
